source,source_row_id,name,email,phone,city,experience_years,current_ctc,applied_date,skills
source1_naukri,0,Tanvi Gupta,tanvi.gupta31@example.com,9000000254,Bengaluru,4.2,417964.0,2026-07-24,"['langchain', 'mongodb', 'n8n', 'rest apis', 'sql']"
source1_naukri,1,Manish Reddy,manish.reddy73@example.com,9000000237,Gurugram,3.5,332456.0,2026-08-08,"['docker', 'javascript', 'zapier']"
source1_naukri,2,Priya Singh,priya.singh61@mailtest.example.org,9000000287,Gurugram,3.0,775670.0,2026-08-01,"['mysql', 'n8n', 'python', 'react', 'sql', 'zapier']"
source1_naukri,3,Vikram Saxena,vikram.saxena60@example.com,9000000113,Gurugram,1.9,654699.0,2026-07-07,"['docker', 'fastapi', 'react', 'selenium', 'sql', 'web scraping']"
source1_naukri,4,Amit Agarwal,amit.agarwal3@mailtest.example.org,9000000288,Pune,1.8,420000.0,2026-07-19,"['docker', 'javascript', 'python', 'sql']"
source1_naukri,5,Sahil Malhotra,sahil.malhotra1@example.in,9000000143,Noida,1.7,806661.0,2026-07-13,"['docker', 'fastapi', 'mysql', 'pandas', 'rest apis', 'zapier']"
source1_naukri,6,Shreya Gupta,shreya.gupta85@example.com,9000000227,Noida,3.3,830000.0,2026-07-19,"['docker', 'n8n', 'python', 'web scraping', 'zapier']"
source1_naukri,7,Isha Chopra,isha.chopra95@mailtest.example.org,9000000138,Pune,5.4,472935.0,2026-08-02,"['javascript', 'mysql', 'react']"
source1_naukri,8,Priya Nair,priya.nair70@example.com,9000000222,Gurugram,5.6,366311.0,2026-07-28,"['n8n', 'python', 'react', 'rest apis', 'web scraping', 'zapier']"
source1_naukri,9,Rohit Mishra,rohit.mishra70@mailtest.example.org,9000000167,Delhi,4.4,871686.0,2026-07-13,"['docker', 'fastapi', 'mysql', 'pandas', 'sql', 'zapier']"
source1_naukri,10,Rahul Malhotra,rahul.malhotra69@mailtest.example.org,9000000260,Delhi,2.5,864237.0,2026-07-03,"['mongodb', 'mysql', 'rest apis', 'selenium', 'sql']"
source1_naukri,11,Rahul Jain,rahul.jain34@example.in,9000000114,Noida,2.8,1195422.0,2026-06-24,"['docker', 'python', 'selenium', 'zapier']"
source1_naukri,12,Nikhil Malhotra,nikhil.malhotra41@example.in,9000000145,Delhi,4.2,510000.0,2026-08-21,"['fastapi', 'javascript', 'python', 'sql', 'web scraping']"
source1_naukri,13,Karan Bhatia,karan.bhatia32@mailtest.example.org,9000000211,Noida,4.7,826748.0,2026-07-08,"['javascript', 'mongodb', 'selenium', 'sql', 'web scraping', 'zapier']"
source1_naukri,14,Ritu Sharma,ritu.sharma23@mailtest.example.org,9000000146,Noida,4.8,610000.0,2026-08-03,"['mongodb', 'n8n', 'react', 'sql', 'web scraping']"
source1_naukri,15,Arjun Mishra,arjun.mishra70@example.com,9000000106,Delhi,1.3,580000.0,2026-08-22,"['docker', 'javascript', 'react']"
source1_naukri,16,Meera Bhatia,meera.bhatia52@mailtest.example.org,9000000223,Delhi,5.1,1120000.0,2026-07-03,"['docker', 'langchain', 'mysql', 'python', 'react', 'sql']"
source1_naukri,17,Varun Jain,varun.jain29@example.com,9000000263,Pune,3.1,760000.0,2026-08-19,"['fastapi', 'mongodb', 'mysql', 'n8n', 'pandas', 'web scraping']"
source1_naukri,18,Arjun Mehta,arjun.mehta9@example.in,9000000131,Noida,4.0,1181149.0,2026-07-21,"['n8n', 'selenium', 'sql']"
source1_naukri,19,Kavya Mehta,kavya.mehta7@example.com,9000000177,Bengaluru,5.1,240000.0,2026-07-02,"['fastapi', 'mongodb', 'n8n', 'pandas', 'react']"
source1_naukri,20,Sneha Chopra,sneha.chopra99@example.in,9000000162,Pune,4.9,1000000.0,2026-07-03,"['javascript', 'mysql', 'pandas', 'react', 'sql']"
source1_naukri,21,Deepak Mehta,deepak.mehta86@example.in,9000000116,Noida,2.7,327287.0,2026-07-23,"['langchain', 'mongodb', 'mysql', 'n8n', 'rest apis', 'selenium']"
source1_naukri,22,Pooja Gupta,pooja.gupta57@mailtest.example.org,9000000271,Noida,3.9,1190000.0,2026-06-24,"['docker', 'mysql', 'n8n', 'selenium', 'sql']"
source1_naukri,23,R. Verma,rohit.verma13@mailtest.example.org,9000000294,Bengaluru,2.4,610000.0,2026-08-13,"['mongodb', 'python', 'react']"
source1_naukri,24,Sneha Mishra,sneha.mishra14@mailtest.example.org,9000000229,Pune,1.4,410629.0,2026-06-15,"['docker', 'mysql', 'pandas', 'selenium']"
source1_naukri,25,Nikhil Chopra,alt.nikhil.chopra70@example.com,9000000103,Noida,0.8,780000.0,2026-07-03,"['n8n', 'pandas', 'sql']"
source1_naukri,26,Priya Saxena,priya.saxena61@example.com,9000000231,Delhi,5.0,660000.0,2026-08-16,"['mysql', 'python', 'react', 'zapier']"
source1_naukri,27,Varun Saxena,varun.saxena21@example.in,9000000170,Gurugram,3.7,775796.0,2026-07-05,"['langchain', 'mongodb', 'mysql', 'rest apis', 'sql', 'zapier']"
source1_naukri,28,Gaurav Mehta,gaurav.mehta79@mailtest.example.org,9000000133,Bengaluru,3.1,792474.0,2026-07-19,"['fastapi', 'rest apis', 'selenium', 'sql']"
source1_naukri,30,Rohit Nair,rohit.nair32@mailtest.example.org,9000000268,Gurugram,2.4,760000.0,2026-08-19,"['docker', 'n8n', 'rest apis', 'web scraping']"
source1_naukri,31,Deepak Nair,deepak.nair44@example.com,9000000296,Bengaluru,5.0,1160787.0,2026-07-15,"['mongodb', 'n8n', 'pandas', 'react']"
source1_naukri,32,Rahul Chopra,rahul.chopra70@example.com,9000000137,Noida,1.7,270000.0,2026-07-27,"['docker', 'python', 'zapier']"
source1_naukri,33,Deepak Singh,deepak.singh36@mailtest.example.org,9000000202,Bengaluru,1.7,1135514.0,2026-08-11,"['docker', 'fastapi', 'react', 'web scraping']"
source1_naukri,34,Amit Reddy,amit.reddy9@mailtest.example.org,9000000165,Delhi,2.7,1140000.0,2026-07-21,"['langchain', 'mysql', 'react']"
source1_naukri,35,Nikhil Chopra,nikhil.chopra70@example.com,9000000103,Noida,0.8,780000.0,2026-07-03,"['n8n', 'pandas', 'sql']"
source1_naukri,36,Tanvi Agarwal,tanvi.agarwal97@example.in,9000000148,Pune,5.0,626740.0,2026-07-27,"['fastapi', 'mongodb', 'rest apis', 'web scraping']"
source1_naukri,37,Nikhil Mehta,nikhil.mehta5@example.com,9000000104,Pune,2.9,930000.0,2026-07-26,"['docker', 'langchain', 'python', 'react', 'selenium', 'zapier']"
source1_naukri,38,Isha Kapoor,isha.kapoor54@example.com,9000000295,Delhi,5.1,590000.0,2026-08-21,"['fastapi', 'javascript', 'mysql', 'python', 'react', 'selenium']"
source1_naukri,39,Arjun Bhatia,arjun.bhatia14@example.com,9000000212,Delhi,1.5,621881.0,2026-06-02,"['fastapi', 'pandas', 'rest apis', 'sql', 'web scraping', 'zapier']"
source1_naukri,40,Isha Sharma,isha.sharma15@example.com,9000000259,Delhi,3.5,1030000.0,2026-07-12,"['javascript', 'mongodb', 'n8n', 'python', 'rest apis', 'selenium']"
source1_naukri,41,Neha Bhatia,neha.bhatia60@mailtest.example.org,9000000273,Pune,4.2,694306.0,2026-07-22,"['fastapi', 'javascript', 'selenium', 'zapier']"
