source,source_row_id,name,email,phone,city,status,hourly_rate,skills
source2_gig,0,Varun Jain,varun.jain29@example.com,,Pune,active,1415.0,"['fastapi', 'mongodb', 'mysql', 'n8n', 'pandas', 'web scraping']"
source2_gig,1,Tanvi Agarwal,tanvi.agarwal97@example.in,,Pune,active,1231.0,"['fastapi', 'mongodb', 'rest apis', 'web scraping']"
source2_gig,2,Karan Bhatia,karan.bhatia32@mailtest.example.org,,Noida,active,403.0,"['javascript', 'mongodb', 'selenium', 'sql', 'web scraping', 'zapier']"
source2_gig,3,Arjun Mishra,arjun.mishra70@example.com,,Delhi,active,440.0,"['docker', 'javascript', 'react']"
source2_gig,4,Isha Kapoor,isha.kapoor54@example.com,,Delhi,active,93.75,"['fastapi', 'javascript', 'mysql', 'python', 'react', 'selenium']"
source2_gig,5,Isha Chopra,isha.chopra95@mailtest.example.org,,Pune,active,1406.0,"['javascript', 'mysql', 'react']"
source2_gig,6,Meera Bhatia,meera.bhatia52@mailtest.example.org,,Delhi,active,330.0,"['docker', 'langchain', 'mysql', 'python', 'react', 'sql']"
source2_gig,7,Vikram Saxena,vikram.saxena60@example.com,,Gurugram,active,843.0,"['docker', 'fastapi', 'react', 'selenium', 'sql', 'web scraping']"
source2_gig,8,Rahul Chopra,rahul.chopra70@example.com,,Noida,inactive,450.0,"['docker', 'python', 'zapier']"
source2_gig,9,Tanvi Gupta,tanvi.gupta31@example.com,,Bengaluru,paused,1331.0,"['langchain', 'mongodb', 'n8n', 'rest apis', 'sql']"
source2_gig,11,Varun Saxena,varun.saxena21@example.in,,Gurugram,inactive,917.0,"['langchain', 'mongodb', 'mysql', 'rest apis', 'sql', 'zapier']"
source2_gig,12,Sneha Chopra,sneha.chopra99@example.in,,Pune,active,175.0,"['javascript', 'mysql', 'pandas', 'react', 'sql']"
source2_gig,13,Deepak Nair,deepak.nair44@example.com,,Bengaluru,paused,465.0,"['mongodb', 'n8n', 'pandas', 'react']"
source2_gig,14,Gaurav Mehta,gaurav.mehta79@mailtest.example.org,,Bengaluru,active,350.0,"['fastapi', 'rest apis', 'selenium', 'sql']"
source2_gig,15,Neha Bhatia,neha.bhatia60@mailtest.example.org,,Pune,active,493.75,"['fastapi', 'javascript', 'selenium', 'zapier']"
source2_gig,16,Arjun Mehta,arjun.mehta77@mailtest.example.org,,Noida,inactive,262.5,"['docker', 'fastapi', 'mysql', 'pandas', 'web scraping', 'zapier']"
source2_gig,17,Manish Bhatia,manish.bhatia3@example.com,,Noida,active,456.25,"['docker', 'javascript', 'pandas', 'react', 'rest apis', 'web scraping']"
source2_gig,18,Isha Chopra,isha.chopra95@mailtest.example.org,,Pune,active,1406.0,"['javascript', 'mysql', 'react']"
source2_gig,19,Divya Chopra,divya.chopra59@example.in,,Noida,inactive,343.75,"['docker', 'fastapi', 'mongodb', 'zapier']"
source2_gig,20,Karan Chopra,karan.chopra76@mailtest.example.org,,Pune,active,437.0,"['mongodb', 'n8n', 'pandas', 'python', 'selenium']"
source2_gig,21,Vikram Mehta,vikram.mehta6@example.com,,Pune,active,137.5,"['langchain', 'python', 'rest apis']"
source2_gig,22,Pooja Kapoor,pooja.kapoor62@example.in,,Noida,active,131.25,"['react', 'rest apis', 'sql']"
source2_gig,23,Kavya Verma,kavya.verma74@mailtest.example.org,,Gurugram,active,1483.0,"['pandas', 'react', 'sql', 'web scraping']"
source2_gig,24,Tanvi Reddy,tanvi.reddy80@example.com,,Pune,paused,368.75,"['docker', 'langchain', 'python', 'rest apis', 'sql']"
source2_gig,25,Varun Singh,varun.singh81@example.com,,Noida,active,763.0,"['fastapi', 'mongodb', 'python', 'react']"
source2_gig,26,Tanvi Kapoor,tanvi.kapoor38@example.com,,Delhi,active,237.5,"['docker', 'mysql', 'selenium', 'web scraping']"
source2_gig,27,Nikhil Nair,nikhil.nair26@example.in,,Gurugram,active,1018.0,"['n8n', 'python', 'web scraping']"
source2_gig,28,Pooja Reddy,pooja.reddy96@mailtest.example.org,,Noida,inactive,590.0,"['docker', 'fastapi', 'pandas', 'sql', 'web scraping']"
source2_gig,29,Tanvi Sharma,tanvi.sharma56@mailtest.example.org,,Noida,active,456.25,"['fastapi', 'langchain', 'n8n', 'python', 'web scraping']"
source2_gig,30,Deepak Nair,deepak.nair57@example.in,,Delhi,active,1462.0,"['docker', 'javascript', 'mysql', 'react', 'sql', 'web scraping']"
source2_gig,31,Anjali Agarwal,anjali.agarwal53@mailtest.example.org,,Bengaluru,inactive,443.75,"['docker', 'javascript', 'react', 'rest apis', 'selenium', 'sql']"
