person_id,name,email,phone,city,sources,num_source_records,match_confidence,experience_years,current_ctc,applied_date,status,hourly_rate,verified,projects_completed,skills
P0001,Manish Reddy,manish.reddy73@example.com,9000000237,Gurugram,source1_naukri,1,unmatched,3.5,332456.0,2026-08-08,,,,,"['docker', 'javascript', 'zapier']"
P0002,Rahul Jain,rahul.jain34@example.in,9000000114,Noida,source1_naukri,1,unmatched,2.8,1195422.0,2026-06-24,,,,,"['docker', 'python', 'selenium', 'zapier']"
P0003,Nikhil Malhotra,nikhil.malhotra41@example.in,9000000145,Delhi,source1_naukri,1,unmatched,4.2,510000.0,2026-08-21,,,,,"['fastapi', 'javascript', 'python', 'sql', 'web scraping']"
P0004,Kavya Mehta,kavya.mehta7@example.com,9000000177,Bengaluru,source1_naukri,1,unmatched,5.1,240000.0,2026-07-02,,,,,"['fastapi', 'mongodb', 'n8n', 'pandas', 'react']"
P0005,Pooja Gupta,pooja.gupta57@mailtest.example.org,9000000271,Noida,source1_naukri,1,unmatched,3.9,1190000.0,2026-06-24,,,,,"['docker', 'mysql', 'n8n', 'selenium', 'sql']"
P0006,R. Verma,rohit.verma13@mailtest.example.org,9000000294,Bengaluru,source1_naukri,1,unmatched,2.4,610000.0,2026-08-13,,,,,"['mongodb', 'python', 'react']"
P0007,Sneha Mishra,sneha.mishra14@mailtest.example.org,9000000229,Pune,source1_naukri,1,unmatched,1.4,410629.0,2026-06-15,,,,,"['docker', 'mysql', 'pandas', 'selenium']"
P0008,Deepak Singh,deepak.singh36@mailtest.example.org,9000000202,Bengaluru,source1_naukri,1,unmatched,1.7,1135514.0,2026-08-11,,,,,"['docker', 'fastapi', 'react', 'web scraping']"
P0009,Amit Reddy,amit.reddy9@mailtest.example.org,9000000165,Delhi,source1_naukri,1,unmatched,2.7,1140000.0,2026-07-21,,,,,"['langchain', 'mysql', 'react']"
P0010,Nikhil Chopra,alt.nikhil.chopra70@example.com,9000000103,Noida,source1_naukri,2,high,0.8,780000.0,2026-07-03,,,,,"['n8n', 'pandas', 'sql']"
P0011,Arjun Bhatia,arjun.bhatia14@example.com,9000000212,Delhi,source1_naukri,1,unmatched,1.5,621881.0,2026-06-02,,,,,"['fastapi', 'pandas', 'rest apis', 'sql', 'web scraping', 'zapier']"
P0012,Amit Agarwal,amit.agarwal3@mailtest.example.org,9000000288,Pune,source1_naukri,1,unmatched,1.8,420000.0,2026-07-19,,,,,"['docker', 'javascript', 'python', 'sql']"
P0013,Isha Sharma,isha.sharma15@example.com,9000000259,Delhi,source1_naukri,1,unmatched,3.5,1030000.0,2026-07-12,,,,,"['javascript', 'mongodb', 'n8n', 'python', 'rest apis', 'selenium']"
P0014,Priya Nair,priya.nair70@example.com,9000000222,Gurugram,source1_naukri,1,unmatched,5.6,366311.0,2026-07-28,,,,,"['n8n', 'python', 'react', 'rest apis', 'web scraping', 'zapier']"
P0015,Rohit Mishra,rohit.mishra70@mailtest.example.org,9000000167,Delhi,source1_naukri,1,unmatched,4.4,871686.0,2026-07-13,,,,,"['docker', 'fastapi', 'mysql', 'pandas', 'sql', 'zapier']"
P0016,Varun Jain,varun.jain29@example.com,9000000263,Pune,"source1_naukri,source2_gig,source3_cbnexus",3,high,3.1,760000.0,2026-08-19,active,1415.0,True,14.0,"['fastapi', 'mongodb', 'mysql', 'n8n', 'pandas', 'web scraping']"
P0017,Tanvi Agarwal,tanvi.agarwal97@example.in,9000000148,Pune,"source1_naukri,source2_gig,source3_cbnexus",3,high,5.0,626740.0,2026-07-27,active,1231.0,False,3.0,"['fastapi', 'mongodb', 'rest apis', 'web scraping']"
P0018,Varun Saxena,varun.saxena21@example.in,9000000170,Gurugram,"source1_naukri,source2_gig,source3_cbnexus",3,high,3.7,775796.0,2026-07-05,inactive,917.0,True,1.0,"['langchain', 'mongodb', 'mysql', 'rest apis', 'sql', 'zapier']"
P0019,Sneha Chopra,sneha.chopra99@example.in,9000000162,Pune,"source1_naukri,source2_gig,source3_cbnexus",3,high,4.9,1000000.0,2026-07-03,active,175.0,False,14.0,"['javascript', 'mysql', 'pandas', 'react', 'sql']"
P0020,Deepak Nair,deepak.nair44@example.com,9000000296,Bengaluru,"source1_naukri,source2_gig,source3_cbnexus",3,high,5.0,1160787.0,2026-07-15,paused,465.0,True,2.0,"['mongodb', 'n8n', 'pandas', 'react']"
P0021,Gaurav Mehta,gaurav.mehta79@mailtest.example.org,9000000133,Bengaluru,"source1_naukri,source2_gig,source3_cbnexus",3,high,3.1,792474.0,2026-07-19,active,350.0,False,1.0,"['fastapi', 'rest apis', 'selenium', 'sql']"
P0022,Neha Bhatia,neha.bhatia60@mailtest.example.org,9000000273,Pune,"source1_naukri,source2_gig,source3_cbnexus",3,high,4.2,694306.0,2026-07-22,active,493.75,False,10.0,"['fastapi', 'javascript', 'selenium', 'zapier']"
P0023,Isha Chopra,isha.chopra95@mailtest.example.org,9000000138,Pune,"source1_naukri,source2_gig,source3_cbnexus",4,high,5.4,472935.0,2026-08-02,active,1406.0,False,7.0,"['javascript', 'mysql', 'react']"
P0024,Karan Bhatia,karan.bhatia32@mailtest.example.org,9000000211,Noida,"source1_naukri,source2_gig,source3_cbnexus",3,high,4.7,826748.0,2026-07-08,active,403.0,True,2.0,"['javascript', 'mongodb', 'selenium', 'sql', 'web scraping', 'zapier']"
